                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9413,                 5.7257,                 2.2574,                0.00667,                0.32333,                 0.0045,                0.00136,                 3.4263,                  13.96,                  2.358,                0.08607,                  7e-05,                  7e-05
                      2,                 1.8171,                 1.7348,                 1.5183,                0.01052,                   0.51,                0.02147,                0.00799,                 2.6427,                 3.9074,                 2.0279,               0.071145,             0.00014499,             0.00014499
                      3,                 1.5978,                 1.4253,                 1.3531,                0.61059,                0.16833,                0.20679,                0.08779,                 2.2332,                 3.0429,                  1.846,                0.05622,             0.00021995,             0.00021995
                      4,                 1.5129,                 1.2962,                  1.368,                0.58837,                0.35333,                0.38923,                0.18011,                 1.8256,                 3.2181,                 1.5635,               0.041295,             0.00029485,             0.00029485
                      5,                 1.4464,                 1.2168,                 1.3275,                0.68644,                0.53667,                0.58795,                0.30811,                 1.5702,                 1.5998,                 1.4561,                0.02637,             0.00036967,             0.00036967
                      6,                  1.412,                 1.1654,                 1.2716,                0.79467,                0.57407,                0.68962,                0.39078,                  1.345,                 1.2841,                  1.349,               0.011444,             0.00044438,             0.00044438
                      7,                 1.3626,                 1.0904,                 1.2477,                0.68668,                0.56251,                0.61938,                0.36035,                 1.3555,                 1.3608,                 1.3028,               0.000499,               0.000499,               0.000499
                      8,                 1.3233,                 1.0656,                 1.2203,                0.68798,                0.60833,                0.67587,                0.39903,                 1.3141,                 1.2705,                 1.2712,             0.00049864,             0.00049864,             0.00049864
                      9,                 1.2885,                 1.0099,                 1.1976,                 0.7268,                0.61833,                0.68249,                0.40413,                 1.3433,                 1.2649,                 1.3257,             0.00049823,             0.00049823,             0.00049823
                     10,                 1.2516,                0.99548,                 1.1817,                0.74731,                0.67667,                0.74255,                  0.446,                 1.2716,                 1.0568,                 1.2617,             0.00049776,             0.00049776,             0.00049776
                     11,                 1.2633,                0.96774,                 1.1835,                0.79114,                0.65025,                0.72423,                0.42408,                 1.2935,                 1.0728,                 1.2262,             0.00049723,             0.00049723,             0.00049723
                     12,                 1.2588,                0.95473,                 1.1692,                 0.7447,                   0.67,                0.73388,                0.43978,                 1.3157,                 1.1755,                 1.2806,             0.00049665,             0.00049665,             0.00049665
                     13,                 1.1992,                0.94061,                 1.1379,                0.78586,                0.63667,                0.73096,                0.44361,                 1.2866,                  1.111,                 1.2374,             0.00049601,             0.00049601,             0.00049601
                     14,                 1.2229,                0.90786,                  1.166,                0.76056,                0.64167,                0.70043,                0.41959,                 1.3254,                 1.0004,                 1.2491,             0.00049533,             0.00049533,             0.00049533
                     15,                 1.1981,                0.92569,                 1.1423,                0.82316,                0.63833,                 0.7682,                0.48241,                 1.1882,                0.97555,                 1.2231,             0.00049458,             0.00049458,             0.00049458
                     16,                 1.1949,                0.88236,                 1.1424,                0.77801,                0.64667,                0.73841,                0.45512,                 1.2935,                 1.1022,                  1.228,             0.00049378,             0.00049378,             0.00049378
                     17,                 1.1606,                0.86062,                 1.1203,                 0.7384,                0.72449,                0.76433,                0.48911,                 1.2867,                 1.1242,                  1.248,             0.00049293,             0.00049293,             0.00049293
                     18,                 1.1406,                0.81685,                 1.1142,                0.78047,                0.70833,                0.79602,                0.50138,                 1.3496,                 1.3268,                 1.2561,             0.00049203,             0.00049203,             0.00049203
                     19,                 1.1162,                0.78522,                  1.101,                0.78461,                0.75833,                0.82932,                 0.5172,                 1.3815,                 0.9883,                 1.2872,             0.00049107,             0.00049107,             0.00049107
                     20,                 1.1045,                0.77701,                 1.0973,                0.77799,                0.76167,                0.81061,                0.48619,                 1.4114,                0.99212,                 1.2732,             0.00049005,             0.00049005,             0.00049005
                     21,                 1.0763,                0.77618,                 1.0777,                0.76721,                0.63833,                0.74179,                0.46191,                 1.4557,                 1.3291,                 1.3196,             0.00048899,             0.00048899,             0.00048899
                     22,                 1.0926,                0.76282,                 1.0783,                0.86562,                0.71167,                0.82133,                0.50152,                 1.3757,                0.92191,                 1.3112,             0.00048787,             0.00048787,             0.00048787
                     23,                 1.0631,                0.74818,                 1.0624,                0.74293,                0.76586,                0.79613,                0.49838,                 1.3432,                 1.1822,                 1.3208,              0.0004867,              0.0004867,              0.0004867
                     24,                 1.0568,                 0.7493,                 1.0787,                0.81839,                0.73602,                0.82471,                0.51571,                 1.3715,                 1.0388,                 1.3395,             0.00048547,             0.00048547,             0.00048547
                     25,                 1.0536,                0.73282,                 1.0577,                 0.7665,                  0.745,                0.81255,                0.52542,                 1.2746,                0.93195,                 1.2444,              0.0004842,              0.0004842,              0.0004842
                     26,                 1.0091,                0.68612,                 1.0306,                0.77837,                0.78436,                0.83667,                0.52891,                  1.311,                0.95691,                  1.265,             0.00048287,             0.00048287,             0.00048287
                     27,                 1.0217,                0.68904,                 1.0354,                0.81332,                0.75516,                0.84215,                0.55712,                 1.1259,                0.80497,                 1.1411,             0.00048149,             0.00048149,             0.00048149
                     28,                 1.0087,                0.67181,                 1.0285,                0.77257,                0.69833,                0.77488,                0.51069,                 1.1746,                0.97835,                 1.1603,             0.00048007,             0.00048007,             0.00048007
                     29,                 1.0041,                0.66973,                 1.0298,                0.78269,                   0.78,                0.83165,                0.55912,                  1.127,                0.90746,                 1.1296,             0.00047859,             0.00047859,             0.00047859
                     30,                0.96675,                0.63822,                 1.0288,                0.80284,                0.73977,                0.82971,                0.54303,                 1.1334,                 0.9211,                 1.1534,             0.00047706,             0.00047706,             0.00047706
                     31,                0.98798,                0.65142,                 1.0196,                 0.8366,                0.77654,                0.84198,                0.54569,                 1.1452,                0.88633,                 1.1247,             0.00047548,             0.00047548,             0.00047548
                     32,                0.96361,                0.62199,                 1.0199,                0.83884,                0.73739,                0.83294,                0.54435,                 1.1976,                 0.9144,                 1.1831,             0.00047385,             0.00047385,             0.00047385
                     33,                0.96336,                0.63088,                  1.024,                0.82172,                 0.7989,                0.86409,                0.58557,                 1.1924,                0.91984,                    1.2,             0.00047217,             0.00047217,             0.00047217
                     34,                0.97031,                0.64339,                 1.0192,                 0.8643,                0.76833,                0.86469,                0.57787,                 1.2228,                 1.0949,                 1.2012,             0.00047044,             0.00047044,             0.00047044
                     35,                0.91743,                0.61185,                 1.0008,                0.87888,                0.77398,                0.86716,                0.58572,                 1.1735,                0.95604,                 1.1694,             0.00046867,             0.00046867,             0.00046867
                     36,                0.93779,                 0.6012,                 1.0094,                0.81579,                0.66167,                0.76667,                0.46353,                  1.449,                 1.2361,                 1.3408,             0.00046684,             0.00046684,             0.00046684
                     37,                0.95419,                0.59922,                 1.0077,                0.87729,                0.79333,                0.87244,                0.58852,                 1.0823,                0.73398,                  1.099,             0.00046497,             0.00046497,             0.00046497
                     38,                0.92374,                 0.6084,                 1.0105,                0.84475,                   0.81,                0.85454,                0.57104,                 1.1709,                0.83689,                 1.1606,             0.00046306,             0.00046306,             0.00046306
                     39,                0.92537,                0.58545,                0.98988,                0.85573,                0.80077,                0.87591,                0.58273,                 1.1838,                0.84485,                 1.1914,             0.00046109,             0.00046109,             0.00046109
                     40,                0.92028,                0.57099,                  1.004,                0.85761,                   0.79,                 0.8644,                0.56632,                 1.3722,                0.82173,                 1.3465,             0.00045908,             0.00045908,             0.00045908
                     41,                0.91765,                0.58056,                0.98472,                0.89861,                0.77667,                0.86701,                0.56811,                 1.2455,                0.80289,                 1.2015,             0.00045703,             0.00045703,             0.00045703
                     42,                0.90283,                0.56877,                0.99794,                0.84395,                  0.775,                0.84829,                0.57516,                 1.0685,                 0.7449,                 1.0949,             0.00045493,             0.00045493,             0.00045493
                     43,                0.91381,                0.57866,                0.99072,                0.84297,                0.81417,                0.86805,                0.59233,                 1.0175,                0.66772,                 1.0808,             0.00045278,             0.00045278,             0.00045278
                     44,                0.89348,                0.55281,                 0.9806,                0.84775,                0.82596,                0.88085,                0.61083,                 1.0549,                0.66428,                 1.0959,              0.0004506,              0.0004506,              0.0004506
                     45,                0.87922,                0.54413,                0.97343,                0.84748,                  0.805,                0.86305,                0.58035,                 1.1973,                 0.8065,                 1.1963,             0.00044837,             0.00044837,             0.00044837
                     46,                0.92648,                 0.5672,                0.98501,                 0.8544,                  0.815,                0.86181,                0.58891,                  1.081,                0.77203,                 1.1079,             0.00044609,             0.00044609,             0.00044609
                     47,                0.89649,                0.56132,                0.98078,                0.90131,                   0.79,                  0.872,                0.59759,                 1.0327,                 0.7676,                 1.0598,             0.00044377,             0.00044377,             0.00044377
                     48,                0.84999,                0.53881,                0.96879,                0.89897,                    0.8,                0.87408,                 0.5983,                 1.0626,                0.71367,                 1.0819,             0.00044142,             0.00044142,             0.00044142
                     49,                0.84359,                0.52976,                0.96288,                0.85742,                0.82185,                0.88056,                0.62167,                 1.0437,                0.77579,                 1.0906,             0.00043902,             0.00043902,             0.00043902
                     50,                 0.8529,                0.51975,                0.95213,                0.90214,                0.78356,                0.87833,                0.61714,                  1.026,                0.75928,                 1.0728,             0.00043658,             0.00043658,             0.00043658
                     51,                0.83886,                0.51659,                0.96077,                0.90225,                0.78454,                0.86403,                0.59267,                  1.079,                0.72323,                  1.094,              0.0004341,              0.0004341,              0.0004341
                     52,                0.83945,                0.50941,                0.95865,                0.84121,                0.79167,                0.84974,                0.60299,                 1.0171,                0.73573,                 1.0626,             0.00043158,             0.00043158,             0.00043158
                     53,                0.83674,                0.51122,                0.95916,                0.89173,                0.77833,                0.87009,                0.58113,                  1.141,                0.87437,                  1.099,             0.00042902,             0.00042902,             0.00042902
                     54,                0.81235,                0.49719,                0.95502,                0.89993,                0.76667,                0.86387,                0.57324,                 1.1914,                0.95439,                 1.1317,             0.00042643,             0.00042643,             0.00042643
                     55,                0.81379,                 0.5057,                0.94689,                0.90692,                0.79667,                0.87221,                0.61915,                0.98734,                0.68713,                 1.0482,              0.0004238,              0.0004238,              0.0004238
                     56,                0.82265,                0.50012,                0.94676,                0.89352,                 0.7832,                 0.8741,                0.59144,                 1.1338,                0.75269,                 1.0969,             0.00042113,             0.00042113,             0.00042113
                     57,                0.79793,                0.48155,                0.93984,                0.88997,                0.80667,                0.88301,                0.62666,                 1.0038,                0.70946,                 1.0566,             0.00041842,             0.00041842,             0.00041842
                     58,                0.80427,                0.49661,                0.93567,                0.84775,                0.82333,                0.88263,                0.62871,                0.98717,                0.75572,                 1.0366,             0.00041568,             0.00041568,             0.00041568
                     59,                0.78171,                 0.4869,                0.93833,                0.91714,                0.77333,                0.88391,                0.64239,                0.99132,                0.74891,                 1.0557,              0.0004129,              0.0004129,              0.0004129
                     60,                0.77929,                0.47943,                0.94028,                0.90213,                0.81427,                0.88569,                0.63542,                0.96338,                0.73788,                  1.053,             0.00041009,             0.00041009,             0.00041009
                     61,                0.78005,                0.48332,                0.93113,                0.87637,                0.80333,                0.88429,                0.59936,                 1.1835,                0.74499,                 1.2503,             0.00040725,             0.00040725,             0.00040725
                     62,                0.78077,                 0.4802,                0.92485,                0.87254,                0.81003,                0.88302,                0.63325,                 1.1106,                0.85587,                 1.1861,             0.00040438,             0.00040438,             0.00040438
                     63,                0.76493,                0.47682,                0.92798,                0.89523,                0.81177,                0.88925,                0.63274,                 1.0182,                0.74721,                  1.109,             0.00040147,             0.00040147,             0.00040147
