                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74275,                0.48925,                0.86972,                0.63349,                  0.625,                0.61356,                0.34698,                 1.3416,                 1.0845,                 1.1736,                0.08607,                  7e-05,                  7e-05
                      2,                0.78318,                0.51855,                0.87973,                0.83289,                0.69778,                0.75959,                0.47143,                 1.2616,                0.79387,                 1.1077,               0.071145,             0.00014497,             0.00014497
                      3,                0.79134,                0.48309,                0.87889,                0.86885,                0.74833,                0.81917,                0.56465,                 1.1315,                0.69488,                 1.0463,                0.05622,              0.0002198,              0.0002198
                      4,                0.71724,                0.45858,                0.86686,                0.89292,                0.79221,                0.84537,                0.59811,                 1.1241,                0.65391,                 1.0531,               0.041294,             0.00029441,             0.00029441
                      5,                0.70302,                0.44684,                0.86375,                0.85947,                0.77471,                0.80987,                0.56945,                 1.0683,                 0.6911,                 1.0559,               0.026369,             0.00036869,             0.00036869
                      6,                0.70009,                0.44635,                0.85406,                0.90431,                0.78752,                0.84611,                0.61645,                 1.0262,                0.65931,                 1.0307,               0.011443,             0.00044253,             0.00044253
                      7,                0.69646,                0.44195,                0.85133,                0.90983,                0.79167,                0.86213,                0.63497,                0.98768,                0.60734,                 1.0216,             0.00049601,             0.00049601,             0.00049601
                      8,                0.68161,                0.42468,                0.85171,                0.90159,                  0.795,                 0.8791,                 0.6516,                0.96716,                0.57797,                  1.006,             0.00049458,             0.00049458,             0.00049458
                      9,                0.67859,                0.42411,                0.85262,                0.88357,                0.83479,                0.88978,                0.66908,                0.94196,                0.56096,                 1.0021,             0.00049293,             0.00049293,             0.00049293
                     10,                0.68561,                 0.4197,                0.85724,                0.89103,                0.84833,                0.90248,                0.67054,                 0.9509,                0.54999,                0.99829,             0.00049107,             0.00049107,             0.00049107
                     11,                0.66905,                0.43111,                0.85327,                 0.8936,                0.84333,                0.90269,                0.66322,                0.97296,                   0.55,                0.99545,             0.00048899,             0.00048899,             0.00048899
                     12,                0.68009,                0.41984,                0.85437,                0.90215,                0.85333,                0.90412,                0.66907,                0.94893,                0.52505,                0.99642,              0.0004867,              0.0004867,              0.0004867
                     13,                0.66449,                0.41939,                 0.8513,                 0.9303,                0.82306,                0.90429,                0.66925,                0.95331,                0.53788,                 1.0014,              0.0004842,              0.0004842,              0.0004842
                     14,                0.65574,                0.40634,                0.85353,                0.90891,                0.83833,                0.89853,                0.66853,                 0.9499,                0.53539,                 1.0037,             0.00048149,             0.00048149,             0.00048149
                     15,                 0.6983,                0.42911,                0.85616,                0.89857,                0.84159,                0.89881,                0.67076,                0.94887,                0.54705,                 1.0066,             0.00047859,             0.00047859,             0.00047859
                     16,                0.68504,                0.41469,                0.85787,                0.93826,                0.82333,                0.90071,                 0.6711,                 0.9309,                0.54641,                0.99058,             0.00047548,             0.00047548,             0.00047548
                     17,                0.66741,                0.41363,                0.84791,                 0.9022,                0.85667,                0.90519,                0.66751,                0.98434,                0.54435,                  1.009,             0.00047217,             0.00047217,             0.00047217
                     18,                0.66657,                0.41854,                0.84771,                 0.9304,                   0.84,                0.90953,                 0.6782,                0.94447,                0.52127,                0.98761,             0.00046867,             0.00046867,             0.00046867
                     19,                0.66837,                0.40469,                0.84946,                0.91516,                0.84833,                 0.9141,                0.67386,                0.96486,                0.54562,                 1.0019,             0.00046497,             0.00046497,             0.00046497
                     20,                 0.6686,                0.40729,                0.85112,                0.92494,                0.84667,                0.91574,                0.67735,                0.92652,                0.52009,                0.99298,             0.00046109,             0.00046109,             0.00046109
                     21,                0.66391,                0.41144,                0.84505,                0.90617,                0.86923,                0.91463,                0.67526,                0.94432,                0.51615,                 1.0014,             0.00045703,             0.00045703,             0.00045703
                     22,                0.65149,                 0.4052,                0.85035,                 0.9201,                 0.8637,                0.91476,                0.67472,                0.94265,                0.51236,                0.99986,             0.00045278,             0.00045278,             0.00045278
                     23,                0.65077,                0.39619,                0.83783,                0.91627,                  0.839,                0.90316,                0.67444,                0.96352,                0.53549,                0.99762,             0.00044837,             0.00044837,             0.00044837
                     24,                0.65076,                0.40649,                0.85161,                0.93688,                0.82333,                0.89893,                0.67679,                0.94944,                0.54094,                 1.0015,             0.00044377,             0.00044377,             0.00044377
                     25,                0.64073,                  0.409,                0.84344,                0.94337,                0.80523,                0.89991,                0.67616,                 0.9458,                0.55001,                0.98852,             0.00043902,             0.00043902,             0.00043902
                     26,                0.62403,                 0.3968,                0.83663,                0.92054,                0.83021,                0.89375,                0.66977,                0.92235,                0.54343,                0.99148,              0.0004341,              0.0004341,              0.0004341
